Name; Median Time; Min Time; Max Time; Median Frame Index; Min Frame Index; Max Frame Index; Min Depth; Max Depth; Total Time; Mean Time; Time Lower Quartile; Time Upper Quartile; Count Total; Count Median; Count Min; Count Max; Number of frames containing Marker; First Frame Index; Time Min Individual; Time Max Individual; Min Individual Frame; Max Individual Frame; Time at Median Frame
"Unity.RenderPipelines.Core.Runtime.dll!UnityEngine.Rendering::ProfilingScope..ctor()";51.49209;50.28721;270.8477;1372;1147;1446;5;19;15679.9616550179;52.26654;51.07029;51.8856;28896;96;96;192;300;1147;0.0021;44.1331;1251;1446;52.55029
"PlayerLoop";20.3898;19.6544;94.40701;1203;1425;1446;1;1;6232.1365892836;20.77379;20.1887;20.5839;901;3;3;4;300;1147;0.0001;44.6547;1232;1446;20.6867
"UnityEngine.CoreModule.dll!UnityEngine.Rendering::RenderPipelineManager.DoRenderLoop_Internal()";10.7839;10.4818;59.3837;1154;1165;1446;2;2;3287.80688762665;10.95936;10.6974;10.8835;301;1;1;2;300;1147;10.4818;44.1638;1165;1446;11.0198
"UnityEngine.CoreModule.dll!UnityEngine.Rendering::RenderPipeline.InternalRender()";10.767;10.4677;59.3485;1427;1165;1446;3;3;3282.9583940506;10.94319;10.6813;10.8689;301;1;1;2;300;1147;10.4677;44.1427;1165;1446;11.0031
"Unity.RenderPipelines.Universal.Runtime.dll!UnityEngine.Rendering.Universal::UniversalRenderPipeline.Render()";10.7659;10.4663;59.3456;1427;1165;1446;4;4;3282.53478336334;10.94178;10.6799;10.8676;301;1;1;2;300;1147;10.4663;44.1411;1165;1446;11.0014
"Unity.RenderPipelines.Universal.Runtime.dll!UnityEngine.Rendering.Universal::UniversalRenderPipeline.RenderCameraStack()";10.6509;10.3695;59.0742;1166;1165;1446;6;6;3249.6638841629;10.83221;10.5678;10.7568;301;1;1;2;300;1147;10.3695;43.9649;1165;1446;10.8975
"Unity.RenderPipelines.Universal.Runtime.dll!UnityEngine.Rendering.Universal::UniversalRenderPipeline.RenderSingleCamera()";9.1758;8.9132;52.8726;1207;1426;1446;8;8;2797.87809848785;9.326261;9.0882;9.2652;301;1;1;2;300;1147;8.9132;39.2066;1426;1446;9.3738
"EditorLoop";6.408;5.8944;3529.29;1405;1309;1446;1;1;6369.51386767626;21.23171;6.2463;7.0584;901;3;3;4;300;1147;0.5845;2348.821;1446;1446;6.2702
"Unity.RenderPipelines.Universal.Runtime.dll!UnityEngine.Rendering.Universal::ScriptableRenderer.Execute()";5.4074;5.2487;26.9128;1418;1303;1446;10;10;1644.1242980957;5.480414;5.3616;5.4457;301;1;1;2;300;1147;5.2487;19.5345;1303;1446;5.4872
"Unity.RenderPipelines.Universal.Runtime.dll!UnityEngine.Rendering.Universal::ScriptableRenderer.ExecuteBlock()";4.1363;3.9977;22.6759;1370;1312;1446;13;13;1260.2255935967;4.200752;4.1015;4.1717;1204;4;4;8;300;1147;0.2679;9.8887;1196;1446;4.2098
"Unity.RenderPipelines.Universal.Runtime.dll!UnityEngine.Rendering.Universal::ScriptableRenderer.ExecuteRenderPass()";4.0958;3.9574;22.55919;1325;1312;1446;14;14;1247.97539751232;4.159918;4.0614;4.1317;6622;22;22;44;300;1147;0.0528;2.6438;1406;1446;4.1639
"PreLateUpdate.ScriptRunBehaviourLateUpdate";3.8164;3.5935;10.2014;1354;1204;1446;2;2;1152.8469004631;3.842823;3.7656;3.8721;300;1;1;1;300;1147;3.5935;10.2014;1204;1446;3.7176
"LateBehaviourUpdate";3.8152;3.5931;10.1999;1354;1204;1446;3;3;1152.5077958107;3.841693;3.7647;3.8712;300;1;1;1;300;1147;3.5931;10.1999;1204;1446;3.7167
"Crest.dll!Crest::OceanRenderer.LateUpdate()";3.0332;2.8404;8.9053;1323;1221;1446;4;4;917.118599653244;3.057062;2.9915;3.0861;300;1;1;1;300;1147;2.8404;8.9053;1221;1446;2.9569
"Crest.dll!Crest::OceanRenderer.RunUpdate()";3.0299;2.8379;8.8992;1323;1221;1446;5;5;916.238996744156;3.05413;2.9885;3.0829;300;1;1;1;300;1147;2.8379;8.8992;1221;1446;2.9543
"Update.ScriptRunBehaviourUpdate";2.3894;2.2449;3.8144;1431;1444;1446;2;2;720.790401220322;2.402635;2.3519;2.4407;300;1;1;1;300;1147;2.2449;3.8144;1444;1446;2.5695
"BehaviourUpdate";2.3886;2.244;3.8136;1406;1444;1446;3;3;720.517197847366;2.401724;2.3511;2.4393;300;1;1;1;300;1147;2.244;3.8136;1444;1446;2.568
"Unity.RenderPipelines.Core.Runtime.dll!UnityEngine.Rendering::VolumeManager.Update()";2.3339;2.2076;6.663;1400;1390;1446;10;11;710.360297679901;2.367868;2.3078;2.364;602;2;2;4;300;1147;1.1035;2.183;1390;1446;2.3648
"WaitForJobGroupID";2.2238;1.9723;18.0414;1275;1415;1446;4;18;723.018697448773;2.410062;2.1014;2.358599;5798;19;17;41;300;1147;0.0005;14.2584;1167;1446;2.0917
"Crest.dll!Crest::BuildCommandBuffer.BuildAndExecute()";2.127;1.949;7.3965;1418;1414;1446;6;6;643.235198974609;2.144117;2.0953;2.1577;300;1;1;1;300;1147;1.949;7.3965;1414;1446;2.0758
"Semaphore.WaitForSignal";2.0228;1.7671;19.8413;1355;1386;1446;3;20;663.409197769317;2.211364;1.8998;2.1584;8177;27;19;72;300;1147;0;14.2574;1148;1446;1.8996
"Crest.dll!Crest::BuildCommandBuffer.BuildLodData()";1.7641;1.6139;5.7933;1381;1414;1446;7;7;531.512198209763;1.771707;1.744;1.7837;300;1;1;1;300;1147;1.6139;5.7933;1414;1446;1.7406
"PreLateUpdate.ParticleSystemBeginUpdateAll";1.5984;1.4652;14.5855;1292;1375;1446;2;2;539.847398519516;1.799491;1.5513;1.8225;300;1;1;1;300;1147;1.4652;14.5855;1375;1446;1.5602
"ParticleSystem.Update";1.5978;1.465;14.5846;1292;1375;1446;3;3;539.642998218536;1.79881;1.5507;1.8219;300;1;1;1;300;1147;1.465;14.5846;1375;1446;1.5595
"UnityEngine.CoreModule.dll!UnityEngine.Rendering::ScriptableRenderContext.Submit()";1.4414;1.2755;5.1998;1175;1426;1446;10;10;435.331798672676;1.451106;1.3896;1.4806;301;1;1;2;300;1147;1.2755;3.3398;1426;1446;1.4559
"UnityEngine.CoreModule.dll!UnityEngine.Rendering::ScriptableRenderContext.Submit_Internal()";1.44;1.2741;5.1947;1175;1426;1446;11;11;434.849599719048;1.449499;1.3882;1.4791;301;1;1;2;300;1147;1.2741;3.3362;1426;1446;1.4543
"UnityEngine.CoreModule.dll!UnityEngine.Rendering::ScriptableRenderContext.Submit_Internal_Injected()";1.4392;1.2734;5.193;1175;1426;1446;12;12;434.589798569679;1.448633;1.3873;1.4782;301;1;1;2;300;1147;1.2734;3.3353;1426;1446;1.4535
"Crest.dll!Crest::LodDataMgrAnimWaves.BuildCommandBuffer()";1.3427;1.29;2.3807;1242;1200;1446;8;8;404.981998920441;1.34994;1.332;1.355;300;1;1;1;300;1147;1.29;2.3807;1200;1446;1.3274
"UniversalRenderPipeline.RenderSingleCamera: === Main Camera ===";1.268;1.1156;4.7838;1159;1426;1446;13;13;384.335199356079;1.281117;1.2204;1.3083;301;1;1;2;300;1147;1.1156;3.1164;1426;1446;1.2812
"ScriptableRenderer.Execute: _Faoria URP 12.1.15 FWD Renderer";1.2218;1.0736;4.5407;1306;1426;1446;14;14;369.735099196434;1.23245;1.177;1.2573;301;1;1;2;300;1147;1.0736;3.0641;1426;1446;1.2416
"Unity.RenderPipelines.Universal.Runtime.dll!UnityEngine.Rendering.Universal::UniversalRenderPipeline.UpdateVolumeFramework()";1.1886;1.1235;3.3885;1210;1390;1446;8;8;362.039198756218;1.206797;1.1766;1.2051;301;1;1;2;300;1147;1.1235;2.219;1390;1446;1.2037
"Unity.RenderPipelines.Universal.Runtime.dll!UnityEngine.Rendering.Universal::UniversalRenderer.Setup()";1.0131;0.9418;5.4862;1279;1230;1446;11;11;309.051599621773;1.030172;0.9934;1.0332;301;1;1;2;300;1147;0.9418;3.6483;1230;1446;1.0685
"UnityEngine.CoreModule.dll!UnityEngine.Rendering::ScriptableRenderContext.Cull()";0.9983;0.9103;7.8551;1254;1267;1446;10;10;307.918299257755;1.026394;0.982;1.0267;301;1;1;2;300;1147;0.9103;5.5685;1267;1446;1.0412
"UnityEngine.CoreModule.dll!UnityEngine.Rendering::ScriptableRenderContext.Internal_Cull()";0.9971;0.909;7.8516;1254;1267;1446;11;11;307.451998710632;1.02484;0.9808;1.0254;301;1;1;2;300;1147;0.909;5.5663;1267;1446;1.0398
"UnityEngine.CoreModule.dll!UnityEngine.Rendering::ScriptableRenderContext.Internal_Cull_Injected()";0.9965;0.9086;7.8505;1254;1267;1446;12;12;307.297299206257;1.024324;0.9803;1.0249;301;1;1;2;300;1147;0.9086;5.5656;1267;1446;1.0393
"CullScriptable";0.995;0.9072;7.8464;1254;1267;1446;13;13;306.787699282169;1.022626;0.9787;1.0235;301;1;1;2;300;1147;0.9072;5.5636;1267;1446;1.0376
"mscorlib.dll!System::String.memcpy()";0.985211;0.9578108;2.899695;1435;1242;1446;7;24;298.145903477183;0.9938197;0.9787118;0.9951113;597207;1988;1960;3701;300;1147;0.0004;0.0688;1147;1446;0.9779109
"UnityEngine.CoreModule.dll!UnityEngine::Object.CompareBaseObjects()";0.9827973;0.9369972;2.666923;1380;1444;1446;5;25;296.858092631242;0.989527;0.9703965;0.9960971;518626;1723;1636;2731;300;1147;0;0.0802;1147;1151;0.9891967
"Unity.RenderPipelines.Universal.Runtime.dll!UnityEngine.Rendering.Universal::ScriptableRenderer.SetRenderPassAttachments()";0.982;0.95;2.988;1403;1256;1446;17;17;297.046098388731;0.9901537;0.9725999;0.9931001;6622;22;22;44;300;1147;0.0337;0.1288;1395;1382;0.9994999
"Crest.dll!Crest::LodDataMgr.SubmitDrawsFiltered()";0.8912;0.862;1.571;1295;1200;1446;9;9;268.751899268478;0.8958397;0.8827001;0.8993999;4200;14;14;14;300;1147;0.0459;0.2438;1213;1446;0.8926
"Profiler.FlushCounters";0.8314;0.6536;1.0932;1244;1343;1302;1;1;248.82419937849;0.829414;0.8099;0.8495;300;1;1;1;300;1147;0.6536;1.0932;1343;1302;0.7793
"UnityEngine.CoreModule.dll!UnityEngine::Object.op_Equality()";0.8223014;0.7925005;2.27319;1154;1165;1446;5;24;248.665094020034;0.8288836;0.8135008;0.8330002;308080;1025;991;1674;300;1147;0.0002;0.0803;1147;1151;0.8268003
"RenderLoop.ScheduleDraw";0.8052999;0.7366999;1.6259;1300;1245;1446;16;17;243.609499478916;0.8120317;0.7868;0.8235;2709;9;9;18;300;1147;0.0004;0.2969;1277;1371;0.8243001
"Profiler.FlushMemoryCounters";0.7916;0.6215;1.0556;1390;1343;1302;2;2;236.89909940958;0.7896637;0.7716;0.8093;300;1;1;1;300;1147;0.6215;1.0556;1343;1302;0.7448
"Unity.RenderPipelines.Core.Runtime.dll!UnityEngine.Rendering::TextureCurve.Evaluate()";0.7866947;0.7866947;0.7866947;1446;1446;1446;19;19;0.78669997752877;0.7867;0.7866947;0.7866947;1024;1024;1024;1024;1;1446;0.0005;0.0078;1446;1446;0
"UnityEngine.CoreModule.dll!UnityEngine::Object.IsNativeObjectAlive()";0.6923057;0.6605058;1.88576;1391;1360;1446;7;26;209.099397783284;0.696998;0.6819054;0.7022061;429033;1426;1349;2350;300;1147;0.0003;0.0798;1147;1151;0.7022061
"Unity.RenderPipelines.Core.Runtime.dll!UnityEngine.Rendering::VolumeManager.OverrideData()";0.691;0.6643;1.9098;1190;1390;1446;12;12;210.554599493742;0.7018487;0.6855;0.6991;602;2;2;4;300;1147;0.3215;0.6833;1444;1446;0.6946
"Unity.RenderPipelines.Core.Runtime.dll!UnityEngine.Rendering::VolumeComponent.Override()";0.6784;0.6531;1.879;1431;1390;1446;13;13;206.544199496508;0.6884807;0.6728;0.6856;602;2;2;4;300;1147;0.3178;0.6721;1444;1446;0.6795
"mscorlib.dll!System::Buffer.Memcpy()";0.6421936;0.6203937;1.872847;1377;1406;1446;8;25;194.116892600257;0.6470563;0.6349937;0.6483937;598227;1991;1963;3824;300;1147;0.0002;0.0538;1147;1351;0.6437934
"Assembly-CSharp.dll!::EnviroSky.Update()";0.627;0.5934;1.3584;1287;1178;1446;4;4;189.632899403572;0.6321096;0.6166;0.6415;300;1;1;1;300;1147;0.5934;1.3584;1178;1446;0.6912
"AwesomeTechnologies.VegetationStudioPro.Runtime.dll!AwesomeTechnologies.VegetationSystem::VegetationSystemPro.LateUpdate()";0.6109;0.576;1.0375;1401;1290;1446;4;4;184.455399632454;0.6148514;0.5993;0.6252;300;1;1;1;300;1147;0.576;1.0375;1290;1446;0.5867
"UnityEngine.CoreModule.dll!UnityEngine::SystemInfo.SupportsRenderTextureFormat()";0.5671;0.5671;0.5671;1446;1446;1446;16;16;0.567099988460541;0.5671;0.5671;0.5671;3;3;3;3;1;1446;0.176;0.2091;1446;1446;0
"UnityEngine.CoreModule.dll!UnityEngine::SystemInfo.IsValidEnumValue()";0.5588;0.5588;0.5588;1446;1446;1446;17;17;0.558800011873245;0.5588;0.5588;0.5588;3;3;3;3;1;1446;0.1747;0.2042;1446;1446;0
"SceneCulling";0.5319;0.499;3.5957;1255;1352;1446;14;14;163.68429929018;0.5456143;0.5241;0.544;301;1;1;2;300;1147;0.499;2.9196;1352;1446;0.5378
"AwesomeTechnologies.VegetationStudioPro.Runtime.dll!AwesomeTechnologies.VegetationSystem::VegetationSystemPro.Update()";0.5104;0.4392;0.7904;1392;1269;1446;4;4;154.498999834061;0.5149966;0.4972;0.5296;300;1;1;1;300;1147;0.4392;0.7904;1269;1446;0.5379
"Assembly-CSharp.dll!UnityEngine.Rendering.LWRP::EnviroBlitPassShafts.Execute()";0.4864;0.4545;3.159;1221;1398;1446;16;16;149.282599464059;0.4976087;0.4781;0.496;602;2;2;4;300;1147;0.2048;2.0265;1147;1446;0.4935
"UnityEngine.CoreModule.dll!UnityEngine::SystemInfo.IsEnumValueObsolete()";0.4825;0.4825;0.4825;1446;1446;1446;18;18;0.482500001788139;0.4825;0.4825;0.4825;3;3;3;3;1;1446;0.155;0.172;1446;1446;0
"UnityEngine.CoreModule.dll!UnityEngine.Rendering::CommandBuffer.DrawMesh()";0.4801;0.4532;1.4221;1412;1254;1446;18;23;145.912099509966;0.4863737;0.4696001;0.4942;31308;104;104;212;300;1147;0.003;0.0238;1212;1368;0.4658
"UnityEditor.CoreModule.dll!UnityEditor::MaterialEditor.ApplyMaterialPropertyDrawersFromNative()";0.4565;0.4565;0.4565;1446;1446;1446;14;20;0.456499999854714;0.4565;0.4565;0.4565;11;11;11;11;1;1446;0.006;0.1111;1446;1446;0
"UnityEditor.CoreModule.dll!UnityEditor::MaterialEditor.ApplyMaterialPropertyDrawers()";0.4403;0.4403;0.4403;1446;1446;1446;15;21;0.440299998037517;0.4403;0.4403;0.4403;11;11;11;11;1;1446;0.005;0.1093;1446;1446;0
"CullSendEvents";0.4372;0.4173;1.5367;1152;1352;1446;15;15;132.685599774122;0.4422853;0.4311;0.4444;301;1;1;2;300;1147;0.4173;0.9721;1352;1446;0.4472
"UnityEngine.CoreModule.dll!UnityEngine.Rendering::RenderTargetIdentifier.op_Implicit()";0.4243;0.3887008;1.676635;1239;1242;1446;9;21;128.753096795321;0.429177;0.4183002;0.4317;229850;765;751;1631;300;1147;0.0002;0.0456;1147;1181;0.4179
"Assembly-CSharp.dll!UnityEngine.Rendering.LWRP::EnviroBlitPassVolumeClouds.Execute()";0.4214;0.3827;1.4341;1352;1266;1446;16;16;127.810299903154;0.4260343;0.4105;0.4355;301;1;1;2;300;1147;0.3827;0.8292;1266;1446;0.4329
"Assembly-CSharp.dll!UnityEngine.Rendering.LWRP::EnviroDistanceBlurPass.Execute()";0.409;0.3802;1.3013;1200;1255;1446;16;16;124.404899835587;0.414683;0.403;0.4175;301;1;1;2;300;1147;0.3802;0.7714;1255;1446;0.4146
"Crest.dll!Crest::OceanChunkRenderer.OnWillRenderObject()";0.3791;0.364;0.9644998;1393;1230;1446;16;16;114.663799449336;0.3822127;0.3749;0.3852;9015;30;30;45;300;1147;0.0044;0.1283;1446;1446;0.3869001
"Unity.RenderPipelines.Core.Runtime.dll!UnityEngine.Rendering::VolumeManager.ReplaceData()";0.3726;0.344;1.1344;1211;1160;1446;12;12;113.904699742794;0.3796823;0.3647;0.3831;301;1;1;2;300;1147;0.344;0.7777;1160;1446;0.3847
"Unity.RenderPipelines.Universal.Runtime.dll!UnityEngine.Rendering.Universal::ScriptableRenderer.AddRenderPasses()";0.3704;0.3401;1.5527;1276;1151;1446;12;12;112.681099742651;0.3756037;0.3623;0.379;301;1;1;2;300;1147;0.3401;0.9701;1151;1446;0.3935
"UnityEngine.CoreModule.dll!UnityEngine::Graphics.ExecuteCommandBuffer()";0.3526;0.2926;1.5895;1187;1334;1446;7;7;109.295499712229;0.3643183;0.3299;0.3793;300;1;1;1;300;1147;0.2926;1.5895;1334;1446;0.329
"UnityEditor.CoreModule.dll!UnityEditor::MaterialPropertyHandler.GetHandler()";0.3495;0.3495;0.3495;1446;1446;1446;16;16;0.349500000476837;0.3495;0.3495;0.3495;18;18;18;18;1;1446;0.0161;0.0324;1446;1446;0
"mscorlib.dll!System::RuntimeType.GetFields()";0.333;0.333;0.333;1446;1446;1446;19;19;0.332999996840954;0.333;0.333;0.333;3;3;3;3;1;1446;0.0965;0.1195;1446;1446;0
"mscorlib.dll!System::RuntimeType.GetFieldCandidates()";0.3299;0.3299;0.3299;1446;1446;1446;20;20;0.329899996519089;0.3299;0.3299;0.3299;3;3;3;3;1;1446;0.0959;0.1184;1446;1446;0
"UnityEngine.CoreModule.dll!UnityEngine::Object.op_Inequality()";0.3272004;0.2762001;0.8160993;1372;1444;1446;5;22;98.8915976669232;0.3296387;0.3218003;0.3340003;148543;494;441;695;300;1147;0.0002;0.0579;1147;1173;0.3262003
"RenderLoop.Draw";0.3196;0.2945;0.5849001;1353;1245;1446;18;18;96.9711997658014;0.3232373;0.3138;0.3284;903;3;3;6;300;1147;0.0493;0.2837;1426;1371;0.3187
"Unity.RenderPipelines.Universal.Runtime.dll!UnityEngine.Rendering.Universal::RenderingUtils.GetValidColorBufferCount()";0.3168;0.2981;1.0009;1399;1305;1446;18;19;96.1812995141372;0.3206043;0.3098;0.3258;13244;44;44;88;300;1147;0.0062;0.0524;1236;1181;0.3088
"UnityEngine.CoreModule.dll!UnityEngine.Rendering::RenderTargetIdentifier..ctor()";0.307698;0.2802992;1.265217;1285;1365;1446;10;22;93.541899152704;0.3118063;0.3027979;0.3153978;256997;856;835;1842;300;1147;0;0.0187;1147;1302;0.3012979
"UnityEngine.UI.dll!UnityEngine.EventSystems::StandaloneInputModule.ProcessMouseEvent()";0.307;0.2673;0.3852;1356;1344;1171;6;7;91.3609997630119;0.308652;0.2871;0.3256;592;2;2;2;296;1147;0.1333;0.193;1344;1171;0.3646
"UnityEngine.CoreModule.dll!UnityEngine.Rendering::CommandBuffer.DrawProcedural()";0.2954;0.2738;0.5002999;1354;1278;1446;10;13;89.2092987280339;0.2973643;0.2866001;0.3030001;28800;96;96;96;300;1147;0.002;0.0194;1148;1407;0.2743
"FixedUpdate.PhysicsFixedUpdate";0.2938;0.2194;3.3492;1379;1357;1446;2;2;106.719099760056;0.3557303;0.2463;0.4374;449;1;1;16;300;1147;0.167;0.3758;1277;1235;0.2639
"mscorlib.dll!System::Buffer.memcpy4()";0.2931012;0.2798018;0.7861986;1301;1228;1446;9;26;88.5467977062217;0.295156;0.2892013;0.2971011;597879;1990;1962;3775;300;1147;0.0001;0.0484;1147;1305;0.2949016
"UnityEngine.CoreModule.dll!UnityEngine.Rendering::ScriptableRenderContext.ExecuteCommandBuffer()";0.2826;0.2565;18.8027;1386;1252;1446;9;20;103.999999741092;0.3466667;0.2765;0.2915;19264;64;64;128;300;1147;0.0021;6.4783;1303;1446;0.2786
"Crest.dll!Crest::OceanChunkRenderer.BindOceanData()";0.2813;0.2678;0.7143002;1260;1230;1446;17;17;85.1135994376382;0.283712;0.2774;0.2862;9015;30;30;45;300;1147;0.0015;0.1214;1446;1446;0.2855
"Unity.RenderPipelines.Universal.Runtime.dll!UnityEngine.Rendering.Universal::ScriptableRenderer.SetupNativeRenderPassFrameData()";0.2714;0.2597;0.7932;1430;1285;1446;12;12;82.5260997116566;0.275087;0.2676;0.2767;301;1;1;2;300;1147;0.2597;0.5038;1285;1446;0.2685
"Physics.Simulate";0.2712;0.1994;3.1321;1379;1357;1446;3;3;97.8076994866133;0.3260257;0.2232;0.4008;449;1;1;16;300;1147;0.159;0.3469;1237;1235;0.2411
"mscorlib.dll!System.Collections.ObjectModel::ReadOnlyCollection`1.get_Item()";0.2655022;0.2517025;0.7408816;1392;1410;1446;14;14;80.9781971315242;0.2699273;0.2623022;0.2692022;315448;1048;1048;2096;300;1147;0.0002;0.0857;1147;1407;0.2652022
"mscorlib.dll!System::RuntimeType.GetFields_internal()";0.2629;0.2629;0.2629;1446;1446;1446;21;21;0.262899994850159;0.2629;0.2629;0.2629;3;3;3;3;1;1446;0.0764;0.0946;1446;1446;0
"Crest.dll!::WaveBatch.get_Enabled()";0.2597005;0.2489005;0.4612002;1332;1168;1446;10;10;78.3960994852241;0.2613203;0.2566005;0.2630005;67200;224;224;224;300;1147;0.001;0.048;1147;1254;0.2709004
"MainLightShadow";0.2565;0.2094;0.4901;1149;1426;1446;15;15;79.3228998929262;0.2644097;0.2364;0.283;301;1;1;2;300;1147;0.2094;0.3959;1426;1298;0.2494
"CrestLodData";0.2489;0.2031;0.3932;1160;1291;1446;8;8;76.6177999675274;0.2553927;0.2333;0.2662;300;1;1;1;300;1147;0.2031;0.3932;1291;1446;0.2428
"Unity.RenderPipelines.Universal.Runtime.dll!UnityEngine.Rendering.Universal::UniversalRenderer.SetupLights()";0.2458;0.2267;1.217;1367;1281;1446;13;13;75.0300998538733;0.2501003;0.2392;0.2529;301;1;1;2;300;1147;0.2267;0.9771;1281;1446;0.2528
"Assembly-CSharp.dll!::EnviroSky.SetMaterialsVariables()";0.2453;0.2257;0.4473;1308;1174;1446;5;5;74.2336997240782;0.2474457;0.2389;0.2528;300;1;1;1;300;1147;0.2257;0.4473;1174;1446;0.2996
"Unity.RenderPipelines.Universal.Runtime.dll!UnityEngine.Rendering.Universal.Internal::ForwardLights.Setup()";0.2405;0.2219;1.2018;1361;1281;1446;14;14;73.4173999279737;0.2447247;0.2336;0.2475;301;1;1;2;300;1147;0.2219;0.967;1281;1446;0.2477
"Unity.RenderPipelines.Core.Runtime.dll!UnityEngine.Rendering::ProfilingScope.Dispose()";0.2300999;0.2187999;4.120595;1345;1265;1446;6;21;73.3975989917526;0.2446587;0.2256999;0.2345999;57792;192;192;384;300;1147;0.0005;1.7813;1147;1446;0.2344999
"Shadows.ExecuteDrawShadows";0.2293;0.1866;0.4326;1430;1426;1446;16;16;70.7003995589912;0.235668;0.2126;0.2515;1204;4;4;8;300;1147;0.033;0.1784;1425;1315;0.2167
"Unity.RenderPipelines.Core.Runtime.dll!UnityEngine.Rendering::VolumeParameter`1.SetValue()";0.2288011;0.2134009;0.7066034;1321;1390;1446;13;13;70.1579990813043;0.23386;0.2242009;0.2353011;132741;441;441;882;300;1147;0.0003;0.0743;1147;1287;0.244601
"UnityEngine.UI.dll!UnityEngine.EventSystems::EventSystem.Update()";0.227;0.0471;0.3836;1166;1444;1443;4;4;67.9947998300195;0.2266493;0.2165;0.2355;300;1;1;1;300;1147;0.0471;0.3836;1444;1443;0.2598
"StdRender.ApplyShader";0.2261;0.2081;0.4116001;1254;1245;1446;19;19;68.6951996665448;0.228984;0.2215;0.2329;3906;13;13;19;300;1147;0.0076;0.0584;1373;1431;0.2229
"Unity.RenderPipelines.Universal.Runtime.dll!UnityEngine.Rendering.Universal.Internal::MainLightShadowCasterPass.Setup()";0.2255;0.2127;0.948;1267;1230;1446;12;12;69.4450997114182;0.2314837;0.2213;0.2338;301;1;1;2;300;1147;0.2127;0.5198;1230;1446;0.2341
"mscorlib.dll!System.Collections.Generic::Dictionary`2.TryGetValue()";0.2239;0.1979001;0.9131996;1226;1264;1446;6;20;68.1017999933683;0.227006;0.2184;0.2302001;31669;105;97;224;300;1147;0.0003;0.0566;1157;1150;0.2309
"Crest.dll!Crest::LodDataMgr.SubmitDraws()";0.2227;0.1581;1.373;1390;1425;1446;9;9;66.3909996966831;0.2213033;0.2187;0.228;3990;14;7;77;300;1147;0.0073;0.0723;1167;1446;0.2122
"Assembly-CSharp.dll!::EnviroSky.UpdateWeather()";0.2218;0.2074;0.6649;1380;1387;1446;5;5;67.6738998889923;0.2255797;0.2175;0.2275;300;1;1;1;300;1147;0.2074;0.6649;1387;1446;0.2185
"mscorlib.dll!System.Collections.Generic::Dictionary`2.FindEntry()";0.2201;0.1948;0.8617999;1182;1264;1446;7;21;66.9852996338595;0.2232843;0.2148;0.2265;32269;107;99;226;300;1147;0.0001;0.0562;1148;1150;0.2301999
"Crest.dll!Crest::LodDataMgrSeaFloorDepth.BuildCommandBuffer()";0.2195;0.2046;0.3971;1274;1200;1446;8;8;66.3525997549295;0.2211753;0.2149;0.2255;300;1;1;1;300;1147;0.2046;0.3971;1200;1446;0.2151
"Unity.RenderPipelines.Universal.Runtime.dll!UnityEngine.Rendering.Universal::ScriptableRenderer.GetCameraClearFlag()";0.217;0.2037;0.6446;1375;1258;1446;18;18;65.8241996923462;0.219414;0.2134;0.2225;6622;22;22;44;300;1147;0.0076;0.0941;1251;1382;0.2225
"AwesomeTechnologies.VegetationStudioPro.Runtime.dll!AwesomeTechnologies.VegetationSystem::VegetationSystemPro.LoadBillboardCells()";0.2163;0.2033;0.3718;1313;1317;1446;5;5;65.3338998556137;0.2177797;0.2114;0.2215;300;1;1;1;300;1147;0.2033;0.3718;1317;1446;0.2076
"Crest.dll!Crest::OceanRenderer.LateUpdateLods()";0.2156;0.2057;0.3656;1252;1239;1446;6;6;65.2119998037815;0.2173733;0.2122;0.2198;300;1;1;1;300;1147;0.2057;0.3656;1239;1446;0.2229
"Unity.Collections.dll!Unity.Collections::NativeList`1.get_Item()";0.2152004;0.2015003;0.3725999;1202;1300;1446;6;8;64.7930982129183;0.215977;0.2121003;0.2188003;48600;162;162;162;300;1147;0.0011;0.0387;1147;1193;0.2118003
"Load billboard cells";0.2148;0.2017;0.3687;1261;1317;1446;6;6;64.8203998655081;0.216068;0.2099;0.2197;300;1;1;1;300;1147;0.2017;0.3687;1317;1446;0.2061
"UnityEngine.CoreModule.dll!UnityEngine::Texture2D..ctor()";0.2148;0.2148;0.2148;1446;1446;1446;19;20;0.21480000205338;0.2148;0.2148;0.2148;16;16;16;16;1;1446;0.0085;0.0331;1446;1446;0
"GUI.Repaint";0.2146;0.1883;0.3877;1411;1309;1446;2;2;64.8736998438835;0.2162457;0.2063;0.2225;301;1;1;2;300;1147;0.153;0.3457;1446;1152;0.2254
"Shadows.ScheduleRenderJobs";0.2128;0.1723;0.4027;1363;1426;1446;17;17;65.8428996391594;0.2194763;0.1977;0.2345;1204;4;4;8;300;1147;0.0303;0.1743;1425;1315;0.201
"Crest.dll!Crest::LodDataMgrAnimWaves.CombinePassPingPong()";0.2122;0.2018;0.4049;1208;1383;1446;9;9;64.5487997978926;0.2151627;0.209;0.2177;300;1;1;1;300;1147;0.2018;0.4049;1383;1446;0.2104
"Crest.dll!Crest::LodTransform.UpdateTransforms()";0.212;0.2028;0.359;1207;1239;1446;7;7;64.1845997273922;0.2139487;0.2091;0.2157;300;1;1;1;300;1147;0.2028;0.359;1239;1446;0.2197
